FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201805,27,0,35559,759999,"D","05/27/2018 00:00:00",39,"M","Outside/Open Areas",201805
201805,30,0,35554,760004,"D","05/30/2018 00:00:00",82,"M","Vehicle/Towed Trailer",201805
201805,30,0,35555,760004,"D","05/30/2018 00:00:00",79,"F","Vehicle/Towed Trailer",201805
201805,30,0,35556,760005,"D","05/30/2018 00:00:00",43,"F","In Water",201805
201807,5,0,35565,760825,"D","07/05/2018 00:00:00",23,"M","Outside/Open Areas",201807
201806,15,0,36061,771183,"D","06/15/2018 00:00:00",55,"M","Outside/Open Areas",201806
201807,3,0,35691,772286,"D","07/03/2018 00:00:00",,"F","Unknown",201807
201807,3,0,35692,772286,"D","07/03/2018 00:00:00",,"F","Unknown",201807
201807,3,0,35693,772286,"D","07/03/2018 00:00:00",,"F","Unknown",201807
201807,3,0,35694,772286,"D","07/03/2018 00:00:00",,"M","Unknown",201807
201807,3,0,35695,772286,"D","07/03/2018 00:00:00",,"M","Unknown",201807
201807,3,0,35696,772286,"D","07/03/2018 00:00:00",,"M","Unknown",201807
201807,3,0,35697,772286,"D","07/03/2018 00:00:00",,"M","Unknown",201807
201807,3,0,35698,772286,"D","07/03/2018 00:00:00",,"M","Unknown",201807
201807,3,0,35699,772288,"D","07/03/2018 00:00:00",,"M","Unknown",201807
201807,16,0,35711,772379,"D","07/16/2018 00:00:00",,"M","Unknown",201807
201807,16,0,35710,772380,"D","07/16/2018 00:00:00",,"M","Unknown",201807
201807,16,0,35707,772381,"D","07/16/2018 00:00:00",,"M","Unknown",201807
201807,16,0,35708,772381,"D","07/16/2018 00:00:00",,"","Unknown",201807
201807,16,0,35709,772381,"D","07/16/2018 00:00:00",,"","Unknown",201807
201807,17,0,35714,772382,"D","07/17/2018 00:00:00",,"M","Unknown",201807
201807,17,0,35715,772382,"D","07/17/2018 00:00:00",,"M","Unknown",201807
201807,17,0,35716,772383,"D","07/17/2018 00:00:00",,"F","Unknown",201807
201807,17,0,35717,772384,"D","07/17/2018 00:00:00",,"M","Unknown",201807
201808,15,0,36051,776801,"D","08/15/2018 00:00:00",41,"M","Outside/Open Areas",201807
201807,22,0,35888,776989,"D","07/22/2018 00:00:00",18,"M","Outside/Open Areas",201807
201807,23,0,35889,776990,"D","07/23/2018 00:00:00",19,"F","Outside/Open Areas",201807
201803,1,0,36016,782826,"D","03/01/2018 00:00:00",8,"M","In Water",201803
201805,15,0,36063,783373,"D","05/15/2018 00:00:00",,"M","Under Tree",201805
201805,15,0,36065,783446,"D","05/15/2018 00:00:00",11,"F","Under Tree",201805
201805,15,0,36062,783447,"D","05/15/2018 00:00:00",41,"F","Under Tree",201805
201806,28,0,36052,784181,"D","06/28/2018 00:00:00",73,"F","Under Tree",201806
201807,6,0,36053,784196,"D","07/06/2018 00:00:00",75,"M","Outside/Open Areas",201807
201802,25,0,36055,784378,"I","02/25/2018 00:00:00",6,"M","In Water",201802
201801,1,0,34671,727655,"D","01/01/2018 00:00:00",27,"F","Outside/Open Areas",201712
201808,20,0,35653,767467,"D","08/20/2018 00:00:00",45,"F","Mobile/Trailer Home",201808
201808,28,0,35791,769782,"D","08/28/2018 00:00:00",11,"F","Vehicle/Towed Trailer",201808
201808,1,0,35719,772804,"D","08/01/2018 00:00:00",14,"M","In Water",201808
201808,14,0,35794,774545,"D","08/14/2018 00:00:00",72,"M","Vehicle/Towed Trailer",201808
201808,14,0,35795,774545,"D","08/14/2018 00:00:00",39,"M","Vehicle/Towed Trailer",201808
201808,19,0,35907,778759,"D","08/19/2018 00:00:00",49,"M","In Water",201808
201808,19,0,35908,778759,"D","08/19/2018 00:00:00",47,"F","In Water",201808
201808,18,0,35911,778966,"D","08/18/2018 00:00:00",10,"M","In Water",201808
201808,19,0,35912,778966,"D","08/19/2018 00:00:00",14,"M","In Water",201808
201808,10,0,35924,779120,"I","08/10/2018 00:00:00",43,"F","Unknown",201808
201808,6,0,35915,779120,"D","08/06/2018 00:00:00",35,"M","Outside/Open Areas",201808
201808,9,0,35918,779120,"I","08/09/2018 00:00:00",63,"M","Outside/Open Areas",201808
201808,10,0,35919,779120,"I","08/10/2018 00:00:00",50,"M","Outside/Open Areas",201808
201808,10,0,35920,779120,"I","08/10/2018 00:00:00",58,"M","Outside/Open Areas",201808
201808,10,0,35921,779120,"I","08/10/2018 00:00:00",61,"M","Outside/Open Areas",201808
201808,10,0,35923,779120,"I","08/10/2018 00:00:00",55,"M","Outside/Open Areas",201808
201808,9,0,35917,779120,"D","08/09/2018 00:00:00",68,"M","Permanent Home",201808
201808,10,0,35922,779120,"D","08/10/2018 00:00:00",86,"M","Permanent Home",201808
201808,8,0,35916,779120,"D","08/08/2018 00:00:00",71,"F","Vehicle/Towed Trailer",201808
201808,11,0,35925,779141,"D","08/11/2018 00:00:00",53,"F","Outside/Open Areas",201808
201808,12,0,35926,779141,"I","08/12/2018 00:00:00",55,"M","Outside/Open Areas",201808
201808,14,0,35929,779141,"D","08/14/2018 00:00:00",85,"F","Outside/Open Areas",201808
201808,14,0,35930,779141,"I","08/14/2018 00:00:00",40,"F","Outside/Open Areas",201808
201808,15,0,35931,779141,"I","08/15/2018 00:00:00",48,"M","Outside/Open Areas",201808
201808,13,0,35927,779141,"I","08/13/2018 00:00:00",84,"F","Permanent Home",201808
201808,13,0,35928,779141,"I","08/13/2018 00:00:00",91,"M","Permanent Home",201808
201808,18,0,35933,779161,"I","08/18/2018 00:00:00",66,"M","Outside/Open Areas",201808
201808,20,0,35935,779161,"D","08/20/2018 00:00:00",90,"F","Outside/Open Areas",201808
201808,16,0,35932,779161,"D","08/16/2018 00:00:00",72,"M","Permanent Home",201808
201808,19,0,35934,779161,"D","08/19/2018 00:00:00",65,"M","Permanent Home",201808
201808,1,0,35964,779162,"D","08/01/2018 00:00:00",90,"M","Mobile/Trailer Home",201808
201808,1,0,35959,779162,"D","08/01/2018 00:00:00",36,"M","Outside/Open Areas",201808
201808,1,0,35960,779162,"I","08/01/2018 00:00:00",66,"M","Outside/Open Areas",201808
201808,1,0,35962,779162,"D","08/01/2018 00:00:00",59,"M","Outside/Open Areas",201808
201808,1,0,35963,779162,"I","08/01/2018 00:00:00",40,"M","Outside/Open Areas",201808
201808,1,0,35965,779162,"I","08/01/2018 00:00:00",33,"M","Outside/Open Areas",201808
201808,2,0,35966,779162,"I","08/02/2018 00:00:00",63,"M","Outside/Open Areas",201808
201808,3,0,35968,779162,"I","08/03/2018 00:00:00",55,"M","Outside/Open Areas",201808
201808,1,0,35954,779162,"I","08/01/2018 00:00:00",83,"M","Permanent Home",201808
201808,1,0,35955,779162,"I","08/01/2018 00:00:00",78,"M","Permanent Home",201808
201808,1,0,35956,779162,"I","08/01/2018 00:00:00",83,"F","Permanent Home",201808
201808,1,0,35957,779162,"I","08/01/2018 00:00:00",75,"M","Permanent Home",201808
201808,1,0,35958,779162,"I","08/01/2018 00:00:00",73,"F","Permanent Home",201808
201808,2,0,35967,779162,"D","08/02/2018 00:00:00",74,"M","Permanent Home",201808
201808,4,0,35969,779162,"D","08/04/2018 00:00:00",74,"F","Permanent Home",201808
201808,5,0,35971,779162,"D","08/05/2018 00:00:00",76,"M","Permanent Home",201808
201808,1,0,35961,779162,"D","08/01/2018 00:00:00",61,"M","Permanent Structure",201808
201808,5,0,35970,779162,"I","08/05/2018 00:00:00",58,"M","Vehicle/Towed Trailer",201808
201808,27,0,35972,779163,"D","08/27/2018 00:00:00",79,"M","Outside/Open Areas",201808
201808,29,0,35973,779163,"D","08/29/2018 00:00:00",71,"M","Permanent Home",201808
201808,29,0,35974,779163,"D","08/29/2018 00:00:00",76,"M","Permanent Home",201808
201808,30,0,36009,779859,"I","08/30/2018 00:00:00",39,"M","In Water",201808
201808,30,0,36010,779859,"I","08/30/2018 00:00:00",9,"F","In Water",201808
201808,30,0,36011,779859,"I","08/30/2018 00:00:00",5,"F","In Water",201808
201808,30,0,36012,779859,"I","08/30/2018 00:00:00",3,"M","In Water",201808
201808,24,0,35981,779874,"D","08/24/2018 00:00:00",41,"M","In Water",201808
201808,18,0,36054,781581,"D","08/18/2018 00:00:00",32,"M","Outside/Open Areas",201808
201808,12,0,36001,781920,"D","08/12/2018 00:00:00",46,"M","Vehicle/Towed Trailer",201808
201808,14,0,36002,781930,"D","08/14/2018 00:00:00",77,"M","Vehicle/Towed Trailer",201808
201808,6,0,36003,782083,"D","08/06/2018 00:00:00",69,"M","Boating",201808
201808,18,0,36029,783385,"D","08/18/2018 00:00:00",24,"F","In Water",201808
201806,6,0,35421,750301,"D","06/06/2018 00:00:00",55,"M","In Water",201806
201806,16,0,35432,751975,"D","06/16/2018 00:00:00",67,"M","In Water",201806
201806,17,0,35433,751976,"D","06/17/2018 00:00:00",21,"M","In Water",201806
201806,19,0,35434,751977,"D","06/19/2018 00:00:00",15,"M","In Water",201806
201806,19,0,35435,751978,"D","06/19/2018 00:00:00",60,"M","In Water",201806
201806,17,0,35461,753109,"D","06/17/2018 00:00:00",,"M","Unknown",201806
201806,15,0,35462,753635,"D","06/15/2018 00:00:00",48,"M","In Water",201806
201806,28,0,35465,753637,"D","06/28/2018 00:00:00",48,"M","In Water",201806
201806,24,0,35470,753814,"D","06/24/2018 00:00:00",33,"M","Unknown",201806
201806,27,0,35482,753974,"D","06/27/2018 00:00:00",44,"M","Boating",201806
201806,22,0,35501,755021,"D","06/22/2018 00:00:00",,"","Unknown",201806
201806,4,0,35685,757760,"D","06/04/2018 00:00:00",1,"F","Vehicle/Towed Trailer",201806
201806,23,0,35527,758147,"I","06/23/2018 00:00:00",48,"M","In Water",201806
201806,28,0,35575,758846,"I","06/28/2018 00:00:00",67,"M","Vehicle/Towed Trailer",201806
201806,17,0,35548,759145,"D","06/17/2018 00:00:00",12,"M","Permanent Home",201806
201806,19,0,35576,762189,"D","06/19/2018 00:00:00",56,"M","In Water",201806
201806,4,0,35580,762629,"I","06/04/2018 00:00:00",65,"M","Outside/Open Areas",201806
201806,5,0,35581,762629,"D","06/05/2018 00:00:00",39,"M","Outside/Open Areas",201806
201806,6,0,35582,762629,"D","06/06/2018 00:00:00",84,"M","Permanent Home",201806
201806,8,0,35583,762629,"I","06/08/2018 00:00:00",59,"M","Vehicle/Towed Trailer",201806
201806,13,0,35589,762630,"I","06/13/2018 00:00:00",57,"M","Outside/Open Areas",201806
201806,13,0,35590,762630,"D","06/13/2018 00:00:00",69,"F","Outside/Open Areas",201806
201806,13,0,35591,762630,"D","06/13/2018 00:00:00",66,"M","Outside/Open Areas",201806
201806,14,0,35592,762630,"I","06/14/2018 00:00:00",79,"M","Permanent Home",201806
201806,13,0,35593,762631,"D","06/13/2018 00:00:00",47,"M","Vehicle/Towed Trailer",201806
201806,21,0,35594,762633,"D","06/21/2018 00:00:00",52,"M","Permanent Home",201806
201806,21,0,35595,762633,"D","06/21/2018 00:00:00",59,"F","Permanent Home",201806
201806,26,0,35596,762647,"D","06/26/2018 00:00:00",97,"F","Outside/Open Areas",201806
201806,27,0,35597,762647,"I","06/27/2018 00:00:00",73,"F","Outside/Open Areas",201806
201806,28,0,35598,762647,"I","06/28/2018 00:00:00",71,"F","Permanent Home",201806
201806,30,0,35599,762647,"I","06/30/2018 00:00:00",58,"M","Vehicle/Towed Trailer",201806
201806,29,0,35619,763373,"D","06/29/2018 00:00:00",42,"M","Camping",201806
201806,3,0,35611,763714,"D","06/03/2018 00:00:00",38,"M","In Water",201806
201806,17,0,35616,764786,"D","06/17/2018 00:00:00",55,"M","Camping",201806
201806,17,0,35621,765635,"D","06/17/2018 00:00:00",75,"M","Vehicle/Towed Trailer",201806
201806,3,0,35627,766281,"D","06/03/2018 00:00:00",,"M","Unknown",201806
201806,7,0,35634,767004,"D","06/07/2018 00:00:00",53,"M","Vehicle/Towed Trailer",201806
201806,30,0,35638,767020,"D","06/30/2018 00:00:00",66,"M","Vehicle/Towed Trailer",201806
201806,28,0,35678,767237,"D","06/28/2018 00:00:00",2,"M","Vehicle/Towed Trailer",201806
201806,4,0,35675,767809,"D","06/04/2018 00:00:00",34,"M","Outside/Open Areas",201806
201806,21,0,35667,767822,"D","06/21/2018 00:00:00",31,"M","Outside/Open Areas",201806
201806,8,0,35677,768040,"D","06/08/2018 00:00:00",27,"M","Heavy Equipment/Construction",201806
201806,1,0,35679,769097,"D","06/01/2018 00:00:00",26,"M","In Water",201806
201806,6,0,35680,769121,"D","06/06/2018 00:00:00",50,"M","In Water",201806
201806,6,0,35681,769121,"D","06/06/2018 00:00:00",17,"M","In Water",201806
201806,18,0,35684,769873,"D","06/18/2018 00:00:00",,"M","Unknown",201806
201810,4,0,35987,780089,"D","10/04/2018 00:00:00",34,"M","Vehicle/Towed Trailer",201810
201810,3,0,35988,780430,"D","10/03/2018 00:00:00",2,"M","Outside/Open Areas",201810
201810,8,0,36020,780605,"D","10/08/2018 00:00:00",73,"M","In Water",201810
201810,26,0,36004,782329,"I","10/26/2018 00:00:00",75,"F","Boating",201810
201810,11,0,36777,784992,"D","10/11/2018 00:00:00",62,"F","Vehicle/Towed Trailer",201810
201810,11,0,36778,784992,"D","10/11/2018 00:00:00",36,"M","Vehicle/Towed Trailer",201810
201810,10,0,36759,788692,"D","10/10/2018 00:00:00",22,"M","Vehicle/Towed Trailer",201810
201810,8,0,36202,789339,"D","10/08/2018 00:00:00",35,"M","Heavy Equipment/Construction",201810
201810,7,0,36464,789465,"D","10/07/2018 00:00:00",57,"M","In Water",201810
201810,7,0,36465,789466,"D","10/07/2018 00:00:00",18,"M","In Water",201810
201810,11,0,36786,789476,"D","10/11/2018 00:00:00",45,"M","Vehicle/Towed Trailer",201810
201810,28,0,36468,789505,"D","10/28/2018 00:00:00",51,"F","Other",201810
201810,28,0,36469,789505,"I","10/28/2018 00:00:00",52,"M","Other",201810
201810,10,0,36815,790227,"D","10/10/2018 00:00:00",78,"F","Vehicle/Towed Trailer",201810
201810,16,0,36788,790530,"D","10/16/2018 00:00:00",58,"F","Vehicle/Towed Trailer",201810
201810,7,0,36762,790600,"D","10/07/2018 00:00:00",17,"M","In Water",201810
201810,7,0,36763,790600,"D","10/07/2018 00:00:00",18,"M","In Water",201810
201810,11,0,36816,790835,"D","10/11/2018 00:00:00",53,"M","Vehicle/Towed Trailer",201810
201810,11,0,36817,790835,"D","10/11/2018 00:00:00",60,"F","Vehicle/Towed Trailer",201810
201810,31,0,36791,790873,"D","10/31/2018 00:00:00",,"M","In Water",201810
201801,4,0,34684,727804,"D","01/04/2018 00:00:00",57,"M","Outside/Open Areas",201801
201803,2,0,35033,734042,"D","03/02/2018 00:00:00",57,"M","Vehicle/Towed Trailer",201803
201803,2,0,35036,734333,"D","03/02/2018 00:00:00",41,"M","Outside/Open Areas",201803
201803,12,0,35247,740753,"D","03/12/2018 00:00:00",47,"M","Vehicle/Towed Trailer",201803
201803,2,0,35329,746559,"D","03/02/2018 00:00:00",77,"F","Outside/Open Areas",201803
201803,10,0,35380,748971,"I","03/10/2018 00:00:00",16,"M","Vehicle/Towed Trailer",201803
201803,10,0,35381,748971,"I","03/10/2018 00:00:00",49,"M","Vehicle/Towed Trailer",201803
201803,10,0,35382,748971,"I","03/10/2018 00:00:00",48,"F","Vehicle/Towed Trailer",201803
201804,4,0,35467,753677,"D","04/04/2018 00:00:00",36,"M","Permanent Structure",201804
201804,22,0,35572,761303,"I","04/22/2018 00:00:00",21,"M","In Water",201804
201804,15,0,35609,763646,"D","04/15/2018 00:00:00",45,"M","Boating",201804
201804,15,0,35610,763646,"D","04/15/2018 00:00:00",31,"M","Boating",201804
201801,18,0,36149,737864,"D","01/18/2018 00:00:00",46,"M","Other",201801
201806,30,0,35635,764991,"D","06/30/2018 00:00:00",66,"M","Vehicle/Towed Trailer",201806
201807,4,0,35899,773052,"D","07/04/2018 00:00:00",46,"F","Vehicle/Towed Trailer",201807
201807,14,0,35900,773285,"D","07/14/2018 00:00:00",40,"M","Under Tree",201807
201808,28,0,35895,777333,"D","08/28/2018 00:00:00",,"","Unknown",201808
201808,6,0,35897,777364,"D","08/06/2018 00:00:00",,"M","Unknown",201808
201808,6,0,35898,777364,"D","08/06/2018 00:00:00",,"","Unknown",201808
201808,17,0,35896,777365,"D","08/17/2018 00:00:00",,"F","Unknown",201808
201808,31,0,35998,781091,"D","08/31/2018 00:00:00",34,"F","In Water",201808
201808,31,0,35999,781091,"D","08/31/2018 00:00:00",67,"M","Vehicle/Towed Trailer",201808
201807,6,0,36022,783080,"D","07/06/2018 00:00:00",,"","Unknown",201807
201808,28,0,36097,786060,"D","08/28/2018 00:00:00",35,"M","Outside/Open Areas",201808
201801,18,0,36147,788039,"D","01/18/2018 00:00:00",46,"M","Other",201801
201802,3,0,34937,730122,"I","02/03/2018 00:00:00",27,"M","Vehicle/Towed Trailer",201802
201802,3,0,34938,730122,"I","02/03/2018 00:00:00",56,"M","Vehicle/Towed Trailer",201802
201802,3,0,34939,730122,"I","02/03/2018 00:00:00",77,"F","Vehicle/Towed Trailer",201802
201802,3,0,34940,730122,"I","02/03/2018 00:00:00",34,"M","Vehicle/Towed Trailer",201802
201802,3,0,34936,730135,"I","02/03/2018 00:00:00",54,"F","Vehicle/Towed Trailer",201802
201802,12,0,34996,731690,"I","02/12/2018 00:00:00",53,"F","Vehicle/Towed Trailer",201802
201803,2,0,35321,733643,"D","03/02/2018 00:00:00",25,"M","Vehicle/Towed Trailer",201803
201812,9,0,36814,788762,"I","12/09/2018 00:00:00",,"M","Outside/Open Areas",201812
201802,5,0,35290,743879,"D","02/05/2018 00:00:00",59,"M","In Water",201802
201803,1,0,35320,744184,"D","03/01/2018 00:00:00",11,"M","Permanent Structure",201803
201803,7,0,35302,744214,"D","03/07/2018 00:00:00",,"","Outside/Open Areas",201803
201812,13,0,36194,789116,"I","12/13/2018 00:00:00",,"M","Unknown",201812
201812,11,0,36200,789327,"I","12/11/2018 00:00:00",61,"M","Vehicle/Towed Trailer",201812
201812,25,0,36765,790714,"D","12/25/2018 00:00:00",74,"F","Outside/Open Areas",201812
201812,12,0,36784,790889,"I","12/12/2018 00:00:00",27,"M","Outside/Open Areas",201812
201812,25,0,36803,791367,"D","12/25/2018 00:00:00",,"","Outside/Open Areas",201812
201812,25,0,36804,791367,"D","12/25/2018 00:00:00",,"M","Outside/Open Areas",201812
201812,7,0,36807,791375,"D","12/07/2018 00:00:00",,"M","In Water",201812
201812,13,0,36808,791378,"D","12/13/2018 00:00:00",,"F","In Water",201812
201812,31,0,37293,791617,"D","12/31/2018 00:00:00",63,"F","Vehicle/Towed Trailer",201812
201812,31,0,36837,792067,"I","12/31/2018 00:00:00",12,"M","Vehicle/Towed Trailer",201812
201812,11,0,37277,792153,"I","12/11/2018 00:00:00",49,"F","Vehicle/Towed Trailer",201812
201812,31,0,36821,792166,"D","12/31/2018 00:00:00",,"M","Boating",201812
201812,1,0,36843,792844,"I","12/01/2018 00:00:00",21,"M","Vehicle/Towed Trailer",201812
201812,26,0,37370,792845,"D","12/26/2018 00:00:00",58,"F","Camping",201812
201812,5,0,36846,793215,"I","12/05/2018 00:00:00",31,"M","Vehicle/Towed Trailer",201812
201812,31,0,37328,793808,"D","12/31/2018 00:00:00",19,"F","Vehicle/Towed Trailer",201812
201812,19,0,37208,794225,"I","12/19/2018 00:00:00",32,"M","Vehicle/Towed Trailer",201812
201812,19,0,37209,794225,"I","12/19/2018 00:00:00",30,"M","Vehicle/Towed Trailer",201812
201812,24,0,37216,794523,"I","12/24/2018 00:00:00",61,"M","Outside/Open Areas",201812
201812,7,0,37267,796017,"D","12/07/2018 00:00:00",62,"F","Vehicle/Towed Trailer",201812
201812,7,0,37268,796017,"D","12/07/2018 00:00:00",63,"M","Vehicle/Towed Trailer",201812
201812,29,0,37289,797280,"I","12/29/2018 00:00:00",51,"M","Outside/Open Areas",201812
201812,28,0,37291,797347,"I","12/28/2018 00:00:00",78,"F","Vehicle/Towed Trailer",201812
201812,27,0,37297,797462,"I","12/27/2018 00:00:00",,"","Vehicle/Towed Trailer",201812
201812,22,0,37318,798159,"D","12/22/2018 00:00:00",31,"M","Outside/Open Areas",201812
201812,28,0,37367,798906,"D","12/28/2018 00:00:00",30,"F","Camping",201812
201812,21,0,37378,800730,"D","12/21/2018 00:00:00",22,"F","In Water",201812
201804,7,0,35240,740316,"D","04/07/2018 00:00:00",57,"M","Boating",201804
201804,13,0,35256,741199,"I","04/13/2018 00:00:00",61,"M","Vehicle/Towed Trailer",201804
201804,25,0,35385,742308,"D","04/25/2018 00:00:00",4,"M","In Water",201804
201804,14,0,35286,743643,"I","04/14/2018 00:00:00",30,"F","Vehicle/Towed Trailer",201804
201804,14,0,35305,744130,"D","04/14/2018 00:00:00",2,"F","Mobile/Trailer Home",201804
201804,27,0,35313,745607,"D","04/27/2018 00:00:00",32,"M","In Water",201804
201804,23,0,35316,745735,"D","04/23/2018 00:00:00",89,"M","Outside/Open Areas",201804
201804,23,0,35317,745735,"D","04/23/2018 00:00:00",63,"M","Outside/Open Areas",201804
201804,14,0,35318,745736,"I","04/14/2018 00:00:00",57,"M","Outside/Open Areas",201804
201804,12,0,35371,747736,"D","04/12/2018 00:00:00",56,"M","In Water",201804
201804,12,0,35410,749533,"D","04/12/2018 00:00:00",62,"F","Vehicle/Towed Trailer",201804
201804,12,0,35412,749535,"D","04/12/2018 00:00:00",61,"M","Unknown",201804
201804,7,0,35413,749643,"D","04/07/2018 00:00:00",23,"F","Unknown",201804
201804,2,0,35422,750491,"D","04/02/2018 00:00:00",,"M","In Water",201804
201804,17,0,35425,751916,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35446,751925,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35428,751926,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35438,752005,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35439,752006,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35440,752007,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35441,752008,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35442,752009,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35443,752010,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35444,752011,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,17,0,35445,752012,"D","04/17/2018 00:00:00",,"F","Under Tree",201804
201804,1,0,35451,752857,"I","04/01/2018 00:00:00",84,"F","Vehicle/Towed Trailer",201804
201804,29,0,35480,752985,"I","04/29/2018 00:00:00",81,"M","Vehicle/Towed Trailer",201804
201804,29,0,35481,752986,"I","04/29/2018 00:00:00",81,"M","Vehicle/Towed Trailer",201804
201806,2,0,35856,745618,"I","06/02/2018 00:00:00",32,"M","Outside/Open Areas",201804
201805,10,0,35528,757873,"I","05/10/2018 00:00:00",1,"M","Vehicle/Towed Trailer",201805
201804,15,0,35472,754019,"I","04/15/2018 00:00:00",48,"M","Vehicle/Towed Trailer",201804
201804,5,0,35473,754086,"D","04/05/2018 00:00:00",26,"M","In Water",201804
201805,10,0,35529,757873,"I","05/10/2018 00:00:00",1,"F","Vehicle/Towed Trailer",201805
201806,19,0,35648,767341,"D","06/19/2018 00:00:00",10,"M","In Water",201806
201806,25,0,35649,767342,"D","06/25/2018 00:00:00",31,"M","In Water",201806
201806,29,0,35790,769801,"D","06/29/2018 00:00:00",71,"M","Vehicle/Towed Trailer",201806
